woarzoo	waarzo
wildetroep, wildeboudel	wilde troep
wildewilg, gele veenwortel	wilde wilg
wildenbras	wildebras
hekkenspringer, woust	wildebras
woust, hekkenspringer	wildebras
baaister, bambeer, bambere	wildebras
wildjer	wilder
wilderheks, wildschut	wilderheks
wilderheks	wilderheks
wildernis	wildernis
berenust, wildernis	wildernis
wildernis, berenust	wildernis
palteraksie, palternaksie, roegte	wildernis
Wildervanck, Adriaan Geerts	Wildervanck
Wildervank (in)	Wildervank
Dale (op)	Wildervanksterdallen
wildgras	wildgras
wilds	wilds
wildschut, haister, wildernis	wildschut
wildschut	wildschut
wilgen	wilg
ween, wene, wilg, wilgenboom	wilg
wene, ween, wilg, wilgenboom	wilg
wilg, wilgenboom, ween, wene	wilg
willekeur, wilkoer, marke	willekeur
eigenheerig	willekeurig
Willem, Wilhelmina	Willem
willen	willen
willen, gold, wil	willen
wiltje	willen
wol	willen
wiltje	willetje
willewark, wilwark, moutwark	willewerk
willeg, bols	willig
willig	willig
willeg	willig
De Wilp (in)	Wilp, De -
wilster, wilter, haister, wildschut	wilster
wilster	wilster
wiljewark	wilwerk
wimpel	wimpel
ooghoar	wimpers
winboar	winbaar
wind, wiend, blas	wind
wiend (Hl. en W.K.)	wind
’t recht van de wind	wind
wiend, scheet, wind	wind
zog	wind (tocht)
windjen, aargewaaiern, aggewaaiern, wimmeln, wummeln	wind, een - laten, wind maken, bewegen, druk -
bluister	wind, lauwe -
n soeze wind	wind, veel -
soeze, n - wind	wind, veel -
windbijer, windbijr	windbier
winde, wien	winde
winde, wien	winde
win-aai	windei
won	winden
winderg, blaisterg	winderig
winderg	winderig
windgail, gail	windgeil
wiendhond	windhond
poestje	windje, zacht -
wiendhuike (W.K.)	windmaker
wiendmöln, waier	windmolen
windmeulen	windmolen
windom	windom
wiends, wiensch, wins	winds
wiendschut	windschut
winsels, winsel, wiensel	windsel
windsel, vogelwikken	windsel
windsel	windsel
windstriemen	windstriem
wiendgaail	windvangend, snel -
weenk, wink	wink
weemke	wink
winkel, henjegras	winkel
winkeln	winkelen
winkeln, winkeltjen	winkelen
winkelhoak	winkelhaak
winkelhouk, ronge	winkelhaak
winkelhouk, buksem, ronge	winkelhaak, broek
winkeliersche	winkelierse
winkeljuffer	winkeljuffer
winnen, opwinnen, verlijzen	winnen
winnen	winnen
wìnnen, mennen, mìnnen	winnen, oogsten
winner	winner
Winneweer (in)	Winneweer
winniewannie, woagentje-op-rijmen	winniewannie
Winschoten	Winschoten
Sodom, Winschoot	Winschoten
Winschoot (in), Sodom	Winschoten
Sodommer	Winschoter
gewin	winst
gemoakelk	winstgevend
Wìnzum (in)	Winsum
winter, harst, zömer	winter
winter	winter
wintrig	winterachtig
winterg	winterachtig
doefkes-op-ain-poot (Hl.)	winterakonietjes, ooievaarsbek
winterbrand	winterbrand
wintergras, duist	wintergras
winterg	winterig
winterjammen, jammen	winterjan
nettelkeuninkien, tuunkroepertien	winterkoninkje
tuunkroepertien, nettelkeuninkien	winterkoninkje
eddelkeudeltje (Old.), eddelkeunenkje, keudeldoemke (Hl.), nettelkeunenk (Ww.), nettelkeunektje (W.K.)	winterkoninkje
heegsnitter (Ww.), 't heegtikkertje (Adorp), eddelkeunenkje	winterkoninkje
keudeldoemke (Hl.), knuutje	winterkoninkje
knuutje (W.K.), keudeldoemke	winterkoninkje
winterkoop, stoppelkoop	winterkoop
winterkoren	winterkoren
winterloage	winterlaag
winterlieders	winterlijder
winterloon	winterloon
winteropslag	winteropslag
winterpàrediezen, winterpediezen, harderooden	winterparadijs
winterperdiezen, winterrediezen	winterparadijs
winters, oavens	winters
kold, vout, aanrechtbak	wintervoet, gootsteen
winteropslag	wintervoorraad
wintergerief, winteropslag	wintervoorraad
winteropslag, wintergerief	wintervoorraad
winterzoad, winterkoren	winterzaad
winterzijsen, elfringen	winterzeeuwse
wiepkes, griebels	wip
wip	wip
wup	wip
wuppen, wupkoar	wip
wiepkes	wip
wip, anwaisel	wip
wip	wip
wips, wups	wip
wup	wip (ogenblik)
wup	wip (ogenblik), ogenblik
wipwap, wupwap	wip (speeltuig)
wupwap, wipwap	wip (speeltuig)
wipangel	wipangel
wupkâr	wipkar
wupkoar, wupkoare, wipkoar, koar	wipkar
wupkoar	wipkar
wipkoare of wipkoar	wipkar
wipkul, wupkul, poapkul	wipkul
wippen, wip, wuppen	wippen
wuppen (Old. en Vk.), wippen	wippen
wipwappen, wupwappen	wippen
wuppen	wippen
wupwappen, wipwappen	wippen
wippern, wippeln	wipperen
wips, wups, wipsie, wipstie, wupsie, wupstie	wips
wipwap, wupwap	wipwap
wuppe (Vk., Old.), kaarnwin, wupplaanke	wipwap
wipwappen, wupwappen, wipwap	wipwappen
wis, seker, zeker	wis
wisse, misse, onwisse	wis
wis, ja, vast	wis
wizze	wis
wiswel	wis wel
wiskunde	wiskunde
kwispeltureg (Hl.)	wispeltureg
tiepelzinneg, wispeltureg	wispelturig
wispeltureg, tiepelzinneg	wispelturig
hinneweer, tiepelzinneg, wif	wispelturig
tiepelzinneg, hinneweer, wif	wispelturig
wizzel	wissel
wizzel	wissel, spoorwissel
wizzelder	wisselaar
wisseldoalder	wisseldaalder
wisseln	wisselen
wizzeln	wisselen
ongeliek	wisselend
slomp	wisselvallig
wisken en flisken	wissen
wissen, missen	wissen
wissiewassie	wissewasje
akkefietjederij	wissewasjes
wissighaid, bewissing	wissigheid
’t wit, witzoad	wit
wit	wit
witbek	witbek
witblad	witblad
witbladboom, witblad	witbladboom
witblatten, witblad	witbladen
witboksen	witboks
witborstjes	Witborstjes
widbrood	witbrood
widbrood	witbrood
witbekt	witgebekt
witgoud, opwasken	witgoed
wittelkalk, drinkeldobbe, krous	witkalk
witkovel, witkeuvelder	witkeuvel
witkeuvelder	witkeuvelaar
witkoren, witzoad	witkoren
witkoren	witkoren
wittelkwast, drinkeldobbe	witkwast
witmeelen	witmeel
witstroo, witzoad	witstro
witte darg, beklaien	witte derrie
witte kiek	witte kiek
witte krodde, witte kiek	witte krodde
witte kroepers, elfringen	witte kruiper
widde wieven	witte wijven
witstoet, stoede, stoet, stuut	wittebrood
stoet, stoede, stuut, witstoet	wittebrood, brood
stoetje	wittebroodje, krentebol
witter	witter
witteghaid	wittigheid
witvout	witvoet
witzoad, witstroo	witzaad
woagenkwad (Ww.)	woagenloop
hoagels, hoagel	woedend
woef	woef
woefen, woef	woefen
woukern	woekeren
woul, beklaien	woel
woul	woel
wouleer, wouleerde, woul	woelaarde
woulen, woul	woelen
wuilen, woulen	woelen
weuren, ruden, vrözzeln, woulen, wuilen	woelen
wuilen	woelen, onrustig zijn
woulen, ruden, vroeten, vrouden, vrözzeln, vruiden, vruiten, vrutten, weuren, wuilen	woelen, wroeten
wuilen, ruden, vroeten, vrouden, vrözzeln, vruiden, vruiten, vrutten, weuren, woulen	woelen, wroeten
vrotten, vrutten, wrotten	woelen, wroeten
wrotten, vrotten, vrutten	woelen, wroeten, werken, hard -
woulgrond, woul	woelgrond
woelklei, witte darg, woul	woelklei
woulpand, woul	woelpand
rudewòld (niet in Stad en W.K.), ruden, wuilwotter	woelwater
wuilwotter, rudewòld	woelwater
Wonsdag	woensdag
Wonsdag	woensdag
woensdag (W.W.K.), 's wonsdags, woensdegs	woensdag
wonsdag	woensdag
woensdag, wonsdag	woensdag
wonsdag, woensdag	woensdag
woepsterd	woepsterd
woord	woerd
woord	woerd
erk, woerd, woord	woerd
woerd, erk, woord	woerd
woord, erk, woerd	woerd
woest, woust, vust	woest
wol	wol
wol, varf	wol
wol	wol
woltop	wol, bosje -
’t Wold	Wold, Het
Wolden	Wolden
Wolden, Woldstreken	Wolden
Woldendörp (in)	Woldendorp
woltjeder, wold	Woldjer
Woldjer, Woltjer, wold	Woldjer
Woltjeders, Woltjers, Woldjers, slochtermantje, stadjers	Woldjer
Woldkant, Wolden	Woldkant
Woldkant, Woldstreken	Woldkant
Woldstreken, wold, Wolden	Woldstreek
Woldjeder, Woldjer	Woldstreek, iem. uit de -
Woldstreken	Woldstreken
wolf, schoaphedderken, spleuten	wolf
wolf	wolf
Baarge (in)	Wolfsbarge
wolgen	Wolgen
veenpluus (Z.W.K.)	wolgras
koupaanzen, koupìnzen	wolken, grote regen-
wollegras, moorke	wollegras
wollegras	wollegras
flòk, lok, lokke, moorke	wollegras
lokke, lok, flòk, moorke	wollegras
moorke, flòk, lok, lokke	wollegras
poezen	wollegras, rietpluimen
Wolnghoezen	Wollinghuizen
Woltersom (in)	Woltersum
wolverlei	wolverlei
bolzakje	wolzak
bolzaktje	wolzakje
wolzaktjenaien	wolzakje naaien
wonder, doezend	wonder
wonder	wonder
wonder	wonder
wonderboar	wonderbaar
wonderdoadeg	wonderdadig
wondern	wonderen
wonder	wonderlijk
wondermooi	wondermooi
wondkoors, wondroos	wondkoorts
wonen	wonen
wonen	wonen
woonderij, spul	wonen, het -, woning
ainwonend	wonend, alleen -
woonderei, wonerai	wonerij
wonerai, woonderai	wonerij
woonderai	woning
sarrieshut	woning bij korenmolen
kroep-in	woninkje, klein -
woof	woof
woonachtig	woonachtig
woonkoamer, koamer	woonkamer
woonschipke	woonschip
woonwoagen, woonschipke	woonwagen
woord, bekend stoan, bos, wieze	woord
woord	woord
woord	woord
woordelk	woordelijk
woordelk	woordelijk
hikhakkerij	woordentwist
woordkaarg	woordkarig
worden, worn	worden
worde	worden
worden	worden
brandhaals	workaholic
wurm	worm
wirm, wurm, wörm, pierekul	worm
wirm, pierekul	worm
wirm, wörm, wurm	worm
wörm, wirm, wurm	worm
wurm, wirm, wörm	worm
blaauwkop	worm, soort -
blauwkop	worm, soort -
wurmkoukje	wormkoekje
wörmkoppen	wormkop
wurmpoeten, gruipoeden	wormpuit
verwurmd, verwirmd	wormstekig
worp	worp
wörp, worp	worp
worst	worst
worsteketel	worsteketel
vrusselen	worstelen
froseln, vroseln, vrusseln, wrösseln, vröseln, vruzzeln	worstelen
vrôzzeln	worstelen
worstpig, pig	worstenpeg
worstpinktje, pinktje	worstenpink
worstspielen, spielen	worstenspijl
worstpetroon, kezoan	worstpatroon
wort	wort
worrel	wortel
woddel	wortel
wortelbalk	wortelbalk
worteldoalder, plak	worteldaalder
wortelplak, worteldoalder	wortelplak
ienankern	wortelschieten
wortelsnieder	wortelsnijder
worteltoenje	worteltuin
worteltoenje	worteltuin
wold, Wolden	woud
vr, v	wr-
vrak, v	wrak
rikkerak, rikrak	wrak
rikrak, rikkerak	wrak
straffen	wraken
wraklat, vraklat	wraklat
wrakseln, vrakseln	wrakselen
wrang, vrang, droop in ’t joar, v	wrang
vrang	wrang
wrangen, wroagen	wrangen
vrangen	wrangen
vranten, v	wranten
vrantern, frantern, vranten	wranteren
wranterg, vranterg, vranten	wranterig
vranterg	wranterig
vrantpot, vranten	wrantpot
woat, woate, wood, woart	wrat
woade, woat	wrat
woat, woarte	wrat
woartebieter, woatebieter, fielainebieter, woat	wrattenbijter
woatebieter	wrattenbijter
woatenbieter, vrattenbieter	wrattenbijter
vrijd, zacht	wreed
vraid	wreed
vraid	wreed
vrei, vrij, krap	wreef
vrij, vrije	wreef
vrije, vrij, vrijf, krobbe, krop	wreef
wreene	wreen
friekel, vriekel	wrekel
vriekel	wrekel
vreken	wreken
frensen, frensken, vrenzen, vrensken, vrinsken	wrensen
vrensken	wrensen
vrevel	wrevel
vrevel	wrevel
vriemeln	wriemelen
vrummeln	wriemelen
wegen	wriggelen
vrieven	wrijven
vrieven	wrijven
wrikken	wrikken
vring, wring, dam, v	wring
vring, vringe	wring
vringen	wringen
vringpoal, vring	wringpaal
vringstart, vringsteert, vring	wringstaart
vruite, wruitemol	wroet
wrouten	wroeten
vruiden, vrouden	wroeten
vruider, vruiden	wroeter
vruitertje	wroeter
wruitemol	wroetmol
piik	wrok
olle wrok, olle vrok	wrok
vrok	wrok
dizen	wrongel
vrongel	wrongel
dikzoepen	wrongel
dikzoepen	wrongel
vrongelhuis	wrongelhuis
vrongelhuis	wrongelhuis
wif, wegen, wief	wuft
wif	wuft
wilp, regenwilp	wulp
regenwilp, wilp	wulp
wilp, wulp	wulp
wulp, wilp	wulp
wirm (Hl.), wörm	wurm
wörm (Stad en Ww.), wirm	wurm
wurmen	wurmen
Santippe	Xantippe
z	z
zoad	zaad
zoade	zaad
zoaden	zaad geven
stekbaiten	zaadbieten
zoadblok	zaadblok
zoadblok, legge	zaadblok
zoadbult, bult	zaadbult
zoaddörskersstoete	zaaddorsersstoet
zaadgans, grasgans	zaadgans
zoadjer	zaadhandelaar
zoadkers, schaiters	zaadker
zoadklijd, annemersklijd	zaadkleed
zoadmaske	zaadmaas
zoadmart	zaadmarkt
zoadmennen, mennen	zaadmennen
zoadsleep	zaadsleep
zoadvuur, koolvuur	zaadvuur
zoadvuur	zaadvuur
zoadsoam	zaadzaam
zoadzail, zoadklijd	zaadzeil
zoage, zoag	zaag
ruppeliezer	zaag, klein soort -
zoagmulder, mulder	zaagmolenaar
zoagmeel	zaagsel
zoagevielen, zoagen	zaagvijlen
zoagevieler, zoagevielder, zoagevielen	zaagvijler
zaai	zaai
zai	zaai
seijen	zaaien
saaien, soaien, zaaien	zaaien
der inmoaken	zaaien
inmoaken, der -	zaaien
zaaiers	zaaier
saier	zaaier
saierlam, saier	zaaierlam
zaaihoorn	zaaihoorn
kòlfgoaren	zaailgoaren
twenter zailienzoad, twenter zaailijnzaad, twenter	zaailijnzaad
zaizoad	zaaizaad
zaaizeeuwen	zaaizeeuw
zoak	zaak
zoak	zaak
goie flikkerij	zaak, goede -
zoal	zaal
zoal	zaal
saggerais, Zacherais	Zacharias
Zacherais, saggerais	Zacharias
zacht	zacht
pioano, lij, zaacht, zaachte	zacht
zaacht, lij, pioano, zaachte	zacht
zaachte, lij, pioano, zaacht	zacht
rìns	zacht-zuur
slof	zacht, week
zachten	zachten
zachies, zaggies, zinnechies	zachtjes
zachies, zuitjes	zachtjes
zuitjes, zachies	zachtjes
zachtlap, zachtlappe, zachtlapke	zachtlap
zachtleven, zachtlappe	zachtleven
zachtloopers	zachtloper
sachs, sags, saks	zachts
sachs, saks	zachts
zachtzedeg	zachtzedig
zinnig	zachtzinnig, bedaard
zâl	zadel
zoadel, 't zoal (Hl. en W.K.)	zadel
zoadel	zadel
zoadeldak	zadeldak
zoadeln	zadelen
zoaden	zaden
zoadjer, zoaderei	zader
zoaderei, zoadereien	zaderij
zoagen	zagen
zoagen	zagen
ziel (W.K.), zail, zijle	zail
zak	zak
zoaken, rak	zak
buutse of buuts, buus, pong, puil	zak
pong, buuts, buutse, puil	zak
puil, puiel (W.K.), buuts, buutse, paail, pòil, pong	zak
fikke, fik, puidel	zak
puidel, fik, fikke	zak
buus, buuts, buutse	zak (broek-)
buutse, buuts, buus	zak (broek-)
zakvol, körfvol	zak vol
puil, puut, pute	zak, papieren -
pute, puil, puut	zak, papieren -
puut, puil, pute	zak, papieren -
zakboukje	zakboekje
buesdouk	zakdoek
buusdouk	zakdoek
buusdouk	zakdoek
buusdoek	zakdoek
doukjeleggen	zakdoekje leggen
zoakelk	zakelijk
buuscenten, buusgeld	zakgeld
buusgeld, buuscenten	zakgeld
tuutje, bule, buul, poil, pong, pongel, pude, puil, puut	zakje
sakken, körf	zakken
zakken	zakken
zakkouk, klont	zakkoek
zakkouk	zakkoek
zakloopen, zaklooperei	zaklopen
zaklooperei, zakloopen	zakloperij
knief	zakmes
smeergoud, zaalf, zaalve	zalf
zaalf, zaalve, smeergoud	zalf
zoalighaid	zaligheid
zoalen	zaling
zaalm, zalm (Stad)	zalm
zaalven	zalven
zammeln	zamelen
zammeln	zamelen
zoameln, zammeln	zamelen
zammelgoud	zamelgoed
zand	zand
zand, op	zand
zaand	zand
Zandbaarge (op de)	Zandberg
zandboudel, boudel	zandboel
zaandboudel	zandboel
zandbult, bult	zandbult
zanderg	zanderig
Zanneweer (in)	Zandeweer
loodzaand	zandgrond, donkere -
gaaste, gaast, hörst, klip, klippe, tange	zandhoogte
hörst, gaast, gaaste, klip, klippe, tange	zandhoogte
tange, gaast, gaaste, hörst, klip, klippe	zandhoogte
zaandbult	zandhoop
zandland	zandland
zaandloper	zandloper
reed	zandpad, zandweggetje
zandschupke, drekschop	zandschop
zandschupke	zandschop
zandstek	zandstek
t Zaand (op)	Zandt, ʼt -
soanen, moanen	zanen
zingerij	zangvereniging
zingerij	zangvereniging
kaarzepikkertje	zangvogeltje (div.)
zoanekboksen	zanikboks
saneken	zaniken
zoaneken, omlullen	zaniken
klootvegen	zaniken
zoaneken, zoaneker	zaniken
zoezer, tweernder, zoesklöt, zoespot	zaniker
zat	zat
zat	zat
zattert, zat	zat
zat	zat
bakstaf	zat (moe)
sad	zat, verzadigd, genoeg
soaterdag	zaterdag
zotterdag, zoaterdag	zaterdag
zoaterdag, zodderdag, zotterdag	zaterdag
zodderdag, zoaterdag, zotterdag	zaterdag
zotterdag, zoaterdag, zodderdag	zaterdag
soaterdags	zaterdags
soaterdoags	zaterdags
soaterdoags, soaterdags	zaterdags, ʼs
zatteg	zattig
zoadsem, zoadsoam	zatzaam
zoavel, zoavelgrond, zoavelge grond	zavel
zoavel	zavel
zij	ze
ze	ze
sechienen	zecchino
zedig	zedig
zedeg	zedig
zei, zeie	zee
zee, boonen	zee
zij	zee
zeedook, dook	zeedook
zeef, zeve	zeef
zeve	zeef
zeef, zeve	zeef
zeve, zeef	zeef
seeg, sege	zeeg
sege	zeeg
seege	zeeg
segebok, seeg	zeegbok
zeegrassen	zeegrassen
zeehard	zeehard
rob, robbe, zeehond	zeehond
zeekaptain, kaptain	zeekapitein
zeel	zeel
zeel	zeel
zijle (Ww.), kouzijle	zeel
zeel	zeel
zeelanders, zeilanders, elfringen, zei	zeelander
sedelpak	zeelpak
slei	zeelt
slij	zeelt
zeeltuug	zeeltuig
leerlap	zeem
voarensman	zeeman
voarensman	zeeman
zeemanscollege	zeemanscollege
zeewiefke	zeemeermin
onweersvogel, störmvogel	zeemeeuw
störmvogel, onweersvogel	zeemeeuw
störmvogel, zeekoap, zeekòb	zeemeeuw
zeekoap, zeekòb, störmvogel	zeemeeuw
zeekoap	zeemeeuw
zijmsleer	zeemleer
zijmsleeren, zijmsleer	zeemleren
zeen	zeen
zeen	zeen
zenen	zeen
zeenkoorse	zeenkoorts
zenekoorzen	zeenkoorzen
zijp, zijpe, kop	zeep
zaibe, zaip, zaipe	zeep
zaipe, zaip, zaibe	zeep
sebom	zeep om
gruinzaip	zeep, groene -
sebom	zeep, om -
wadwurm	zeepier
zijpkop, zijp	zeepkop
zijpkop, kop	zeepkop
zeer, zere	zeer
aibals, aibels (niet W.K.), haibals	zeer
zeer, zeere	zeer
aibals, aibels	zeer
aiweg, aibals, aibels, astemoat, biester, biesterboarliek, bloudse, bodde, bot, gloepend, gloepens, gloepenze, glupend, haaidens, iebels, iesboarliek, maal, mieters, roazend, slim, staail, stok-, stom, stomme, störmachteg, störms, ten hoogsten, vermoord, vermoorde, vervlogen, wonder	zeer
biester, aibals, aibels, aiweg, astemoat, biesterboarliek, bloudse, bodde, bot, gloepend, gloepens, gloepenze, glupend, haaidens, iebels, iesboarliek, maal, mieters, roazend, slim, staail, stok-, stom, stomme, störmachteg, störms, ten hoogsten, vermoord, vermoorde, vervlogen, wonder	zeer
biesterboarliek, aibals, aibels, aiweg, astemoat, biester, bloudse, bodde, bot, gloepend, gloepens, gloepenze, glupend, haaidens, iebels, iesboarliek, maal, mieters, roazend, slim, staail, stok-, stom, stomme, störmachteg, störms, ten hoogsten, vermoord, vermoorde, vervlogen, wonder	zeer
bloudse, aibals, aibels, aiweg, astemoat, biester, biesterboarliek, bodde, bot, gloepend, gloepens, gloepenze, glupend, haaidens, iebels, iesboarliek, maal, mieters, roazend, slim, staail, stok-, stom, stomme, störmachteg, störms, ten hoogsten, vermoord, vermoorde, vervlogen, wonder	zeer
bodde, aibals, aibels, aiweg, astemoat, biester, biesterboarliek, bloudse, bot, gloepend, gloepens, gloepenze, glupend, haaidens, iebels, iesboarliek, maal, mieters, roazend, slim, staail, stok-, stom, stomme, störmachteg, störms, ten hoogsten, vermoord, vermoorde, vervlogen, wonder	zeer
gloepens, gloepenze, aibals, aibels, aiweg, astemoat, biester, biesterboarliek, bloudse, bodde, bot, gloepend, glupend, haaidens, iebels, iesboarliek, maal, mieters, roazend, slim, staail, stok-, stom, stomme, störmachteg, störms, ten hoogsten, vermoord, vermoorde, vervlogen, wonder	zeer
glupend, aibals, aibels, aiweg, astemoat, biester, biesterboarliek, bloudse, bodde, bot, gloepend, gloepens, gloepenze, haaidens, iebels, iesboarliek, maal, mieters, roazend, slim, staail, stok-, stom, stomme, störmachteg, störms, ten hoogsten, vermoord, vermoorde, vervlogen, wonder	zeer
haaidens, aibals, aibels, aiweg, astemoat, biester, biesterboarliek, bloudse, bodde, bot, gloepend, gloepens, gloepenze, glupend, iebels, iesboarliek, maal, mieters, roazend, slim, staail, stok-, stom, stomme, störmachteg, störms, ten hoogsten, vermoord, vermoorde, vervlogen, wonder	zeer
hoogsten, ten -	zeer
iebels, aibals, aibels, aiweg, astemoat, biester, biesterboarliek, bloudse, bodde, bot, gloepend, gloepens, gloepenze, glupend, haaidens, iesboarliek, maal, mieters, roazend, slim, staail, stok-, stom, stomme, störmachteg, störms, ten hoogsten, vermoord, vermoorde, vervlogen, wonder	zeer
iesboarliek, aibals, aibels, aiweg, astemoat, biester, biesterboarliek, bloudse, bodde, bot, gloepend, gloepens, gloepenze, glupend, haaidens, iebels, maal, mieters, roazend, slim, staail, stok-, stom, stomme, störmachteg, störms, ten hoogsten, vermoord, vermoorde, vervlogen, wonder	zeer
mieters, aibals, aibels, aiweg, astemoat, biester, biesterboarliek, bloudse, bodde, bot, gloepend, gloepens, gloepenze, glupend, haaidens, iebels, iesboarliek, maal, roazend, slim, staail, stok-, stom, stomme, störmachteg, störms, ten hoogsten, vermoord, vermoorde, vervlogen, wonder	zeer
roazend, aibals, aibels, aiweg, astemoat, biester, biesterboarliek, bloudse, bodde, bot, gloepend, gloepens, gloepenze, glupend, haaidens, iebels, iesboarliek, maal, mieters, slim, staail, stok-, stom, stomme, störmachteg, störms, ten hoogsten, vermoord, vermoorde, vervlogen, wonder	zeer
stok-, aibals, aibels, aiweg, astemoat, biester, biesterboarliek, bloudse, bodde, bot, gloepend, gloepens, gloepenze, glupend, haaidens, iebels, iesboarliek, maal, mieters, roazend, slim, staail, stom, stomme, störmachteg, störms, ten hoogsten, vermoord, vermoorde, vervlogen, wonder	zeer
stomme, stom, aibals, aibels, aiweg, astemoat, biester, biesterboarliek, bloudse, bodde, bot, gloepend, gloepens, gloepenze, glupend, haaidens, iebels, iesboarliek, maal, mieters, roazend, slim, staail, stok-, störmachteg, störms, ten hoogsten, vermoord, vermoorde, vervlogen, wonder	zeer
störmachteg, aibals, aibels, aiweg, astemoat, biester, biesterboarliek, bloudse, bodde, bot, gloepend, gloepens, gloepenze, glupend, haaidens, iebels, iesboarliek, maal, mieters, roazend, slim, staail, stok-, stom, stomme, störms, ten hoogsten, vermoord, vermoorde, vervlogen, wonder	zeer
störms, aibals, aibels, aiweg, astemoat, biester, biesterboarliek, bloudse, bodde, bot, gloepend, gloepens, gloepenze, glupend, haaidens, iebels, iesboarliek, maal, mieters, roazend, slim, staail, stok-, stom, stomme, störmachteg, ten hoogsten, vermoord, vermoorde, vervlogen, wonder	zeer
ten hoogsten, aibals, aibels, aiweg, astemoat, biester, biesterboarliek, bloudse, bodde, bot, gloepend, gloepens, gloepenze, glupend, haaidens, iebels, iesboarliek, maal, mieters, roazend, slim, staail, stok-, stom, stomme, störmachteg, störms, vermoord, vermoorde, vervlogen, wonder	zeer
vermoorde, vermoord, aibals, aibels, aiweg, astemoat, biester, biesterboarliek, bloudse, bodde, bot, gloepend, gloepens, gloepenze, glupend, haaidens, iebels, iesboarliek, maal, mieters, roazend, slim, staail, stok-, stom, stomme, störmachteg, störms, ten hoogsten, vervlogen, wonder	zeer
vervlogen, aibals, aibels, aiweg, astemoat, biester, biesterboarliek, bloudse, bodde, bot, gloepend, gloepens, gloepenze, glupend, haaidens, iebels, iesboarliek, maal, mieters, roazend, slim, staail, stok-, stom, stomme, störmachteg, störms, ten hoogsten, vermoord, vermoorde, wonder	zeer
wonder, aibals, aibels, aiweg, astemoat, biester, biesterboarliek, bloudse, bodde, bot, gloepend, gloepens, gloepenze, glupend, haaidens, iebels, iesboarliek, maal, mieters, roazend, slim, staail, stok-, stom, stomme, störmachteg, störms, ten hoogsten, vermoord, vermoorde, vervlogen	zeer
zeer, bain	zeer, been, betalen
over	zeer, buitengewoon
gnap	zeer, heel
stolt	zeer, heel
Riep (in)	Zeerijp
zeerte	zeerte
boetenvoarder	zeeschip
zeetiedens, en	zeetijding
Zais	Zeeuws
zijsen, zeeusen, elfringen	zeeuwse
zeevoart	zeevaart
zeizand, zei	zeezand
schaarpzaand	zeezand, grof -
segebok, seebok, zeebok	zegebok
seegebok	zegebok
zegel, evangelie	zegel
sain	zegen
zegen, rais	zegen
zegen	zegenen
zegenwìns	zegenwens
zegge	zegge
sek	zegge
tegen zeggen	zeggen
ken ’k joe zeggen	zeggen
zeggen, boonen, der, tegen zeggen, wa’s	zeggen
gezegd	zeggen
zeggen	zeggen
zeggen	zeggen
zeggenschop	zeggenschap
zegger	zegger
zegger	zegsman
zegswoorden	zegswoord
zegswoorden	zegswoord
sijken, miegen, miegijmke	zeiken
sjeiken	zeiken
sjaikerd, sjaiker	zeiker
zail, zoadzail	zeil
zaail	zeil
zailboas, hopman	zeilbaas
zaaildouk	zeildoek
zaailen	zeilen
zaailgoaren	zeilgaren
bootjezaailderij	zeilsport
zailstijntje	zeilsteen
zwâ, zwâde	zeis
saais, saaize, aanjoager, swoa	zeis
swoa (Hl., W.K., Old., Vk., Ww.), saais	zeis
saais, saaize	zeis
saais, saaize, snit, snitte, swoa, swoag, zwoag	zeis
snitte, snit, saais, saaize, swoa, swoag, zwoag	zeis
swoag, swoa, saais, saaize, snit, snitte, zwoag	zeis
zwoag, saais, saaize, snit, snitte, swoa, swoag	zeis
zwoag	zeis
grassnieder	zeis, kleine -
zeker, seker	zeker
zeper	zeker
sekerwoar, sekerswoar, zekerwoar	zeker waar
seker woar	zeker waar
jechtig	zeker, wettig
bewizzen, vaasteghaid, vasteghaid, wizzeghaid, zekerhaid	zekerheid
wizzeghaid, bewizzen, vaasteghaid, vasteghaid, zekerhaid	zekerheid
zekerhaid, bewizzen, vaasteghaid, vasteghaid, wizzeghaid	zekerheid
jechteghaid, wizze, wizzeghaid	zekerheid
wizze, jechteghaid, wizzeghaid	zekerheid
wizzeghaid, jechteghaid, wizze	zekerheid
verwissen	zekerheid geven, verzekeren
zekerliek	zekerlijk
zeldzoam, zeldsoam, sels’m	zeldzaam
sels’m, zeldzoam	zeldzaam
zelzem (W.K.), zeldsoam	zeldzaam
zeldzoam	zeldzaam
selvest	zelf
sulst	zelf
zulf, zuls, zöls, zulm, zölm, zulms, zölms	zelf
zelf, zelve	zelf
zuls, zulf, geld, tied	zelf
zölf, zulf, zulven, zulvens	zelf
zulf, zölf, zulven, zulvens	zelf
zulven, zulvens, zölf, zulf	zelf
zulf red	zelf ree
zulde, zölde, zulfde	zelfde
zulde	zelfde
aigenste	zelfde
zölde, zulde, zulfde	zelfde
zulde, zölde, zulfde	zelfde
zulfde, zölde, zulde	zelfde
aigenste, ainder	zelfde, dezelfde
zulfbakken	zelfgebakken
kort, zich te – doun	zelfmoord plegen
redzoam	zelfredzaam
onredzoam	zelfredzaam, niet -
zuls, zöls, zulf, zulm	zelfs
alderdeegs, zölfs	zelfs
zölfs, alderdeegs	zelfs
zulfstandeg	zelfstandig
zemelder, zemeln	zemelaar
zemeln, omzemeln, plassen	zemelen
