eerdappeldoggen	Aardappeldoggen
summege	sommige
sums	soms
smis	somtemets
sumtieds	somtijds
tjoepen	soppen
sobbeg	soppig
soproan	sopraan
soeffleur	souffleur
sauger	souger
speik	spaak
spoan	spaan
spoarbaank	spaarbank
lep	spade
spilen	spalken
spalkers	spalker
spanjeroaken	spannetjeraken
spanten	spant
spantwark	spantwerk
spanzoag	spanzaag
spaarappels	spar-appels
spoaren	sparen
spotteln	spartelen
smikje	spatje
spotters	spatjes
sportjen	spatten
spezioal	speciaal
spikkeloas	speculaas
spijk	speek
speuloal	speelaal
speuldag	speeldag
speulding	speelding
speulgoud	speelgoed
stoterskroam	speelgoedkraam
speulhoeske	speelhuisje
speulpop	speelpop
speulweek	speelweek
spekbukken	spekbokking
spekbreden	spekbord
spekkedikken	spekdik
spekkendikken	spekdikke
spekkooper	spekkoper
speklooperei	spekloperij
spekmoal	spekmaal
spekpangkouk	spekpannekoek
spietoakel	spektakel
spekoetbroaden	spekuitbraden
spekelaaiern	spekuleren
spul	spel
elle-	spel-
spulbreker	spelbreker
speulen	spelen
speuler	speler
spanzijern	spenderen
speren	sperren
spertied	spertijd
sputter	spetter
sneizig	spichtig
spei	spie
spaigel	spiegel
spaigeln	spiegelen
spijgelgevecht	spiegelgevecht
spieren	spier
spierling	spiering
platlopen	spijbelen
spiker	spijker
spiekern	spijkeren
spiekerpin	spijkerpin
spielen	spijl
spieskoamer	spijskamer
spietelk	spijtelijk
moeien	spijten
spittelkees	spikkelkaas
spiksplinternij	spiksplinternieuw
spillebain	spillebeen
spiltrappen	spiltrap
spinne	spinde
spinhoes	spinhuis
spinmoal	spinmaal
kokermeulen	spinnekòp
spinnevoutjen	spinnevoeten
spinnewail	spinnewiel
spinwief	spinwijf
spittelkees	spitkaas
pipermues	spitsmuis
spitsbekt	spitssnavelig
spitsvondeg	spitsvondig
splijt	spleet
spleteg	spletig
spalten	splijten
splintern	splinteren
splitarten	spliterwt
splitruter	splitruiter
splissen	splitsen
spuilen	spoelen
spuilkoem	spoelkom
spouken	spoken
sponsie	spons
sponsdeuze	sponsdoos
spoukeg	spookachteg
spoukeg	spookachtig
borries	spookfiguur
spoorslooden	spoorsloot
spoorsnei	spoorsneeuw
wegon	spoorwagen
spòtterij	spotternij
spottershoeskes	spottershuis
sproakwoater	spraakwater
sproake	sprake
sproakeloos	sprakeloos
sprek	spreek
sprekwoord	spreekwoord
sprutter	spreeuw
sproaaai	spreeuwenei
sproaaaierkleur	spreeuweneierkleur
sproanust	spreeuwennest
spraiboom	spreiboom
spraaiden	spreiden
sprengzollen	sprengzouten
taauwchieboge	springtouw
sprinkhoan	sprinkhaan
spriet	sprit
spruilen	sproeien
spròkkeln	sprokkelen
spròkkelhòlt	sprokkelhout
spròkkelmoand	sprokkelmaand
sprang	sprong
spröt	sprot
sprutter	sprotter
spruut	spruit
spruten	spruiten
spruutjes	spruitkool
sprou	spruw
kwakjen	spugen
spaide	spuit
spaiten	spuiten
spillen	spul
romtommelderij	spullen
spottern	sputteren
spij	spuug
spijbak	spuwbak
speien	spuwen
spijer	spuwer
speioet	spuwuit
pangelder	sshacheraar
stoa-in-de-wege	sta-in-de-weg
stoaf	staaf
stoak	staak
stoaltje	staal
stoalhingst	staalhengst
stoaltje	staaltje
stoan	staan
stoanders	staander
steert	staart
stirtjen	staarten
ijsbeer	staartmees
staartsteern	staartster
stoats	staats-
stoastie	staatsie
stoatsiegedienen	staatsiegordijn
stadshoes	stadhuis
stadshoeswoord	stadhuiswoord
stoareg	stadig
stadse	stads
stadsbol	stadsbul
Stadsploats	stadsplaats
stadrais	stadsreis
singel	stadssingel
stoaken	staken
staket	staketsel
stoaken	staking
stalbotter	stalboter
stalhakken	stalhak
stoalhengsten	stalhengst
groupmis	stalmest
stalvaske	stalvastel
stambouk	stamboek
stamarten	stamerwt
stamkoarde	stamkaart
stampend	stampen
boerenpot	stamppot
barstendevol	stampvol
stamsloatboonen	stamslaboon
stande	stand
standoar	standaard
standploats	standplaats
stinkerij	stank
stap-ien-karn	stap-één-karn
stoapel	stapel
stoapeln	stapelen
stapvouts	stapvoets
stieren	staren
stoateg	statig
stoatsion	station
stoatsieonsgraft	stationsgracht
stadjer	stedeling
steegs	steeg
steekbouktje	steekboekje
steeldijf	steeldief
stein	steen
steinig	steenachtig
tiggeln	steenbakken
stijnbil	steenbil
diggelhoes	steengoedwinkel
staingroes	steengruis
stainbult	steenhoop
stainkool	steenkool
stijnslengte	steenlengte
stijnschip	steenschip
stijnsmuur	steensmuur
stein-oel	steenuil
staaiger	steiger
staigern	steigeren
staigerholt	steigerhout
staail	steil
stikke	stek
stokblind	stekeblind
stikel	stekel
stiekelg	stekelachtig
stikelspoor	stekelbaarsje
stiekelband	stekelband
stiekeldroad	stekeldraad
stiekeln	stekelen
stiekelhoard	stekelgehaard
stiekelhoareg	stekelharig
stiekelhaide	stekelheide
stiekelkroageg	stekelkragig
stiekelpens	stekelpens
stiekelpotze	stekelpos
stiekelroos	stekelroos
stiekelspoa	stekelspade
stiekelsporen	stekelspoor
stiekelsteken	stekelsteken
stiekelsteker	stekelsteker
stiekeltrekker	stekeltrekker
stiekelzichten	stekelzicht
stekers	steker
stellen	stel
gappen	stelen
stelloazie	stellage
stellen	stelling
stelmoaker	stelmaker
stelphuizinge	stelphuizing
stelsels	stelsel
stìngel	stengel
stengeln	stengelen
snielen	stengels
stainegen	stenigen
steern	ster
starfel	sterfelijk
staark	sterk
starkte	sterkte
steern	stern
steernkieker	sterrekundige
steernschot	sterrenschot
steernsnuutsel	sterrensnuitsel
steerntje	sterretje
staarveling	sterveling
starven	sterven
starmdoodwoar!	stervensdoodwaar
staarvensnood	stervensnood
starmwoar	stervenswaar
schoor	steun
stennen	steunen
stènzat	steunzat
steuvern	steuveren
stevels	stevel
steveln	stevelen
steveg	stevig
stezzels	stezzel
stichtelk	stichtelijk
stijfolders	stiefouder
stiemsk	stiems
stiepert	stieper
bolkaalf	stierkalf
stierlek	stierlijk
stirte	stiert
stief	stijf
stiefkopt	stijfgekopt
stiefkop	stijfkop
stiefkopt	stijfkoppig
stiesel	stijfsel
stieselgoud	stijfselgoed
stiefvol	stijfvol
stieg	stijg
zâdeltrap	stijgbeugel
stiel	stijl
stieve	stijve
stiven	stijven
stikzijneg	stikziend
stilleghaid	stilte
stilswijgent	stilzwijgen
stinkbijst	stinkbeest
stinkbloum	stinkbloem
stinkholt	stinkhout
stinkwaide	stinkweide
stipkomkes	stipkom
stippeln	stippelen
stôbbe	stobbe
baldiesen	stoeien
stoul	stoel
stoelmatters	stoelmatter
stoulplank	stoelplank
stoulspiel	stoelsport
stoulwinder	stoelwinder
stoetenbounder	stoethaspel
motblik	stofblik
stofdouktje	stofdoek
stovvel	stoffel
stubben	stoffen
stofferei	stofferij
stòvveg	stoffig
loezekaam	stofkam
stofnusten	stofnest
stokbewoarder	stokbewaarder
steukeln	stokelen
stokmantje	stokmannetje
stòkold	stokoud
stòkroos	stokroos
stieren	stollen
stulp	stolp
stoomen	stomen
stommels	stommel
stommelachteg	stommelachtig
stommeln	stommelen
stommelsteert	stommelstaart
stomhoes	stommenhuis
poervervelend	stomvervelend
stoven	stoof
steufperen	stoofperen
buiterij	stookplaats
stötvaalk	stootvalk
stootwinden	stootwind
stopgoaren	stopgaren
stòpnaal	stopnaald
stoppeljong	stoppeljongen
stoppelkadde	stoppelkat
stokvarf	stopverf
steuren	storen
störk	stork
störm	storm
störmen	stormen
störmloopen	stormlopen
störms	storms
störmstok	stormstok
stört	stort
störtenbeker	stortebeker
störten	storten
störtvol	stortvouw
stooten	stoten
stooterg	stoterig
stooterskroam	stoterskraam
stuttern	stotteren
stolt	stout
stougen	stouwen
steuven	stoven
stroal	straal
stroaljoager	straaljager
struul	straaltje
stroathanden	straathand
stroatje	straatje
stravven	straffen
strakkies	strakjes
dommee	straks
stermien	stramien
strantjeders	strander
strâter	stratenmaker
striepkoorn	streepkoord
streksoam	strekzaam
aâjen	strelen
keezen	stremmen
stremmels	stremsel
streperg	streperig
strubbeln	stribbelen
striggeln	striggelen
stried	strijd
strieden	strijden
striedeg	strijdig
striedewieds	strijdwijds
striekdam	strijkdam
strieken	strijken
strikker	strijker
striekgeld	strijkgeld
striekgoud	strijkgoed
striklat	strijklat
striekplank	strijkplank
striekster	strijkster
striekstòk	strijkstok
drel	strik
strikbijntjen	strikbenen
strikvleugeln	strikvleugelen
strikvroag	strikvraag
struups	strips
stroo	stro
stroobloem	strobloem
stroobrijd	strobreed
stroobredte	strobreedte
strullen	stroelen
strouten	stroet
stroogeld	strogeld
snötaigenwies	stronteigenwijs
stronterg	stronterig
strontgoud	strontgoed
smaartpoeier	strooipoeder
streu	strooisel
strul	stroom
stroup	stroop
stroopsneus	stroopneus
strik	stropdas
stroopars	stropers
stroosnieder	strosnijder
stroospier	strospier
stroostofpapierfabriek	strostofpapierfabriek
stroostop	strostop
strostòp	strowis
struuf	struif
stroek	struik
stroekel	struikel
strukeln	struikelen
stervellen	struiken
stroekenzuikers	struikenzoeker
stroekrover	struikrover
strunen	struinen
struus	struis
struusvogel	struisvogel
motveger	stubber
studdeln	studdelen
stuttie	studdy
studaaiern	studeren
leerderij	studie
stoek	stuik
stoeken	stuiken
stoekzalf	stuikzalf
stuum	stuins
stoek	stuip
termienen	stuipen
stuut	stuit
stuut-	stuit-
stuitelbuiteln	stuitelbuitelen
stoeven	stuiven
stuver	stuiver
stuversglas	stuiversglas
kepòt	stuk
stikkedoor	stukadoor
stikkedoorsel	stukadoorsel
stikkedoren	stukadoren
stokkerg	stukkerig
inrepen	stukmaken
stumperan	stumperjan
studdeln	stuntelen
stutjen	stutten
bikboord	stuurboord
septiel	subtiel
suttern	sudderen
sovven	suffen
suffiezant	suffisant
sofgad	sufgat
sovveghaid	sufheid
sukker	suiker
sokkerbaiten	suikerbieten
sukerartjes	suikererwt
sukermànnechien	suikermannetje
ziezeln	suizelen
zoezen	suizen
krukkeln	sukkelen
gammel	sukkelend
lorteg	sukkelig
sulholt	sulhout
suppieten	supiet
seloabe	syllabe
sylviniet	sylvaniet
toai	taai
toainoagel	taainagel
toalsman	taalman
toalzoam	taalzaam
toan	taan
toantjern	taanteren
duker	taats
tebak	tabak
sloatje	tabakspruim
tebakspeien	tabakspuwen
tabbert	tabbaard
tabeljé	tablier
tachentig	tachtig
toavel	tafel
toavelbijn	tafelbeen
toavelbretjerond	tafelbordjerond
kleplooper	tafelschuimer
swilk	tafelzeil
takken	tak
toakel	takel
toakeloazie	takelage
toakeln	takelen
schens	takkenbos
taksbijnd	taksgebeend
taalm	talen
toalìnt	talent
talholt	talhout
talholtkerel	talhoutkerel
teelnk	taling
sumen	talmen
talriek	talrijk
tullieboas	taludbaas
toamelk	tamelijk
taamp	tamp
tanne	tand
koezepreukel	tandenstoker
taandkillen	tandpijn
ronzel	tandrad
goagel	tandvlees
greep	tandvork
toaperg	taperig
tips	taps
taptou	taptoe
taarten	tarten
waaitenbrood	tarwebrood
waaitenmeel	tarwemeel
taske	tasje
tastboar	tastbaar
tatte	tata
toatjen	taten
tateln	tateren
taksaaiern	taxeren
tiek	teek
eivel	teelaarde
noatuur	teelvocht
tijm	teem
toon	teen
fille	tefille
goarkomste	tegaderkomst
ticheldobbe	tegeldobbe
tougelieks	tegelijk
stroatje	tegelpad
tegenan	tegenaan
tegenanzijn	tegenaanzien
tegender	tegenaar
tegenhaspeln	tegenhaspelen
tegenheden	tegenheid
opmuiten	tegenhouden
tegenweren	tegenlopen
jegener	tegenpartij
tegenreken	tegenrekening
tegenschriever	tegenschrijver
wederwoardegheden	tegenspoeden
weerwoord	tegenspraak
inzeggen	tegenspreken
oafvallen	tegenvallen
tegenwaarken	tegenwerken
tegenstroekelderij	tegenwerking
kapsie	tegenwerping
teegn’sworeg	tegenwoordig
tegoude	tegoed
tal	teil
taaistern	teisteren
taiken	teken
tijkenderei	tekenarij
taiken	tekenen
taiken	tekening
teks	tekst
telegroafen	telegraferen
wiedkieker	televisie
telgen	telg
telder	teljoor
iderbod	telkens
balenteller	telraam
temeie	temeier
taimen	temen
tempeltje	tempel
tamtaaiern	tempteren
tinglat	tengellat
minnelk	tenger
tingnoagels	tengnagel
temint	tenminste
tenoor	tenor
tit	tepel
teer’n	tering
termien	termijn
termienen	termijnen
taarpentien	terpentijn
terraain	terrein
òfgetrokken	teruggetrokken
miedzoam	terughoudend
weerkomen	terugkomen
weeromraais	terugreis
twiel	terwijl
teste	test
testemìnt	testament
toater	teter
tiepelstikken	teuverstikken
textielpunten	textielpunt
tiezig	tezig
trioater	theater
slaifke	theelepeltje
theetied	theetijd
theewoater	theewater
thoes	thuis
thoesblieverswoagentje	thuisblijverswagen
bakstein	tichelsteen
tichelwark	tichelwerk
taimen	tiemen
tiepeln	tiepelen
tiepelzinneg	tiepelzinnig
helbelleg	tierend
tierentain	tieretein
tied	tijd
tiedbeurten	tijdbeurt
tiedelk	tijdelijk
tiedels	tijdels
tiedens	tijdens
bitiids	tijdig
tieden	tijding
tiedkörteg	tijdkortig
tiedkörtn	tijdkorting
tiedpasseern	tijdpassering
tiedschrift	tijdschrift
tiedstieden	tijdstijden
tiedvak	tijdvak
ziegen	tijgen
tiegers	tijgers
teek	tijk
tail	tijl
tiene	tijn
nip	tik
tikkienele	tik-die-Nellie
tikhōnktjen	tikhonken
tikke-lessie	tikkertje
timioan	timiaan
timmern	timmeren
timmerderij	timmergereedschap
waarkhòlt	timmerhout
timmerkoamer	timmerkamer
timmerknecht	timmermansknecht
timmerkoamer	timmerwinkel
motraai	timoteegras
tingeln	tingelen
tingelingelà	tingelingela
pimpern	tintelen
tipdouktje	tipdoek
tippeln	tippelen
tippetappetoone	tippetappetone
tipsie	tipsy
tierentain	tiretein
tirzelg	tirzelig
tutteltje	tittel
tjakseln	tjakselen
tjaalk	tjalk
tjaske	tjasker
tjoekeln	tjoekelen
tob	tobbe
tobbeln	tobbelen
tobangel	tobhengel
doch	toch
tjucht	tocht
ziegen	tochten
tòchteg	tochtig
tochtnoagels	tochtnagel
toltien	tod
tou	toe
touboat	toebaat
toubetoalen	toebetalen
touboien	toeboeien
toubrengen	toebrengen
toudijen	toedijen
toudraien	toedraaien
toudrinken	toedrinken
tougang	toegang
tougevelk	toegeeflijk
liedelk	toegefelijk
tougriezeln	toegriezelen
touhollen	toehouden
toujoager	toejager
toukieken	toekijken
tounikken	toeknikken
toukomen	toekomen
toukomst	toekomst
toukriegen	toekrijgen
toeken	toeksen
toulachen	toelachen
toulangen	toelangen
touleeren	toeleren
toulieken	toelijken
touloop	toeloop
touloopen	toelopen
touluden	toeluiden
touluestern	toeluisteren
toumoaken	toemaken
toumoategen	toematigen
dou	toen
tounoadern	toenaderen
doudestieds	toentertijd
toupakken	toepakken
toupazen	toepassen
touproostjen	toeproosten
törn	toer
toertakken	toertak
tourissen	toerusting
touschaiden	toescheiden
touschrieven	toeschrijven
touschudden	toeschudden
touslag	toeslag
tousmoken	toesmoken
toutoalen	toespreken
doesk	toest
toustand	toestand
toestellen	toestel
toesterg	toesterig
toustupen	toestoppen
tuut	toet
toutast	toetast
toutasten	toetasten
toutamtijern	toetempteren
toetert	toeter
touvaal	toeval
touvallen	toevallen
touverdijnen	toeverdienen
aanbetraauwen	toevertrouwen
touvlocht	toevlucht
touvourn	toevoeren
touvroagen	toevragen
touwassen	toewassen
touwillen	toewensen
touwillen	toewillen
touzoage	toezeg
touzeggen	toezeggen
tousturen	toezenden
tòffie	toffee
tofelemone	toffelemone
tokus	toges
huuske	toilet
tukseln	tokkelen
toeken	tokken
top	tol
toppen	tollen
tòllenoar	tollenaar
tomoat	tomaat
tuimeg	tomig
Tommies	tommy
tun	ton
tunder	tondel
tunderdeus	tondeldoos
tongeln	tongelen
tjonten	tont
teunbanksneren	toonbanknering
torreg	toornig
tus	toot
topboonjes	topboon
topmoan	topmaan
tòpswoar	topzwaar
tieke	tor
torenkà	torenkauw
klem	torenvalk
törn	torn
tòrpedo	torpedoboot
taalter	touter
toaweln	touwelen
tjoender	tovenaar
nikkeltjes	toverballen
teuverstikken	toverstok
troanje	traan
troanbok	traanbok
traktoatje	traktaatje
traktoatsie	traktatie
traktemint	traktement
traktaaiern	trakteren
trallarechies	tralala’tjes
troalie	tralie
trampeln	trampelen
trânen	tranen
troanerg	tranerig
trankiel	tranquil
trappen	trap
trovveln	trappen
trappaaiern	trapperen
terwinkel	trawinkel
trachter	trechter
treders	treder
tredsel	treedsel
treffen-failen	treffen-feilen
trefferd	treffer
trijfel	treife
traain	trein
trainvolk	treinvolk
trettern	treiteren
rieten	trekken
snik	trekschuit
trensie	trens
truurpoaren	treurpaar
sammeltje	treuzelaarster
ompielen	treuzelen
dreioakelgom	triakelgom
trubenoal	tribunaal
triko	tricot
braaiderij	tricotagefabriek
treemen	triem
Trien	trien
triesterg	triesterig
triezeln	trijzelen
trippen	trip
spinvoutjen	trippelen
sobbig	troebel
tromf!	troef
nel	troefnegen
troele	troel
troppeltje	troepje
troefeln	troevelen
truffel	troffel
troffeln	troffelen
troeffelschop	troffelschop
troggeln	troggelen
trommen	trommelen
tromke	trommeltje
miesderg	troosteloos
troest	tros
tröshoaver	troshaver
grootseghaid	trots
traauw	trouw
wijven	trouwen
titium	tsaddie
tsdoke	tsedoke
tudelletoantjes	tudeltaantje
tuvven	tuffen
dofstijn	tufsteen
tooi	tui
taaiber	tuiber
tu	tuig
tuughekke	tuighek
tuugknippers	tuigknipper
toek	tuik
toel	tuil
tumel	tuimel
tumelaid	tuimeleg
tumeln	tuimelen
tumeltoomerijchies	tuimeltomerijtje
toentjederij	tuinarbeid
toenbaauw	tuinbouw
toentjederei	tuinderij
toeniegel	tuinegel
toenaier	tuinei
toentjen	tuinen
toengras	tuingras
toentjen	tuinieren
toenkroepertje	tuinkruipertje
tunier	tuinman
toentjegras	tuintjegras
tuischen	tuisen
tude	tuit
toeten	tuiten
tuutjefluiten	tuitjefluiten
toetjelamp	tuitlamp
tuutoog	tuitoog
tooitauen	tuitouw
toek	tuk
tulp	tulpenbòllen
kemieken	tuniek
tudeln	tuntelen
tuetling	tureluur
kuren	turen
törf	turf
törfbieltje	turfbijl
Törfkloet	turfkluit
törfkörf	turfkorf
törfkörf	turfmand
törfmennen	turfmennen
mot	turfmolm
slòs	turftjalk
törfflok	turfvlok
henneg	tussenmaat
tussentied	tussentijd
twalften	twaalfde
twij	twee
twijbak	tweebak
tweide	tweede
tweidonkern	tweedonker
twijknuppel	tweeknuppel
tweilichteg	tweelichtig
tweelgn	tweeling
twijvurgen	tweevoren
twijderlij	tweeërlei
twievel	twijfel
twiefelder	twijfelaar
twieveln	twijfelen
twieg	twijg
stige	twintigtal
twiezelband	twisselband
joe	u
u	ui
joar	uier
uur’n	uieren
oel	uil
oelemoalen	uilenmalen
oelgevel	uilgevel
oete	uit
uutvanhuzer	uit-van-huizer
oetbedenken	uitbedenken
oetbedenkseltje	uitbedenksel
oetbedingen	uitbedingen
oetbesteden	uitbesteden
oetbeugeln	uitbeugelen
oetblaffen	uitblaffen
oetpoesten	uitblazen
oetblieken	uitblijken
oetboudeln	uitboedelen
oetboien	uitboeien
oetbogen	uitbogen
oetboren	uitboren
oetbörgen	uitborgen
oetbozzeln	uitborstelen
oetbossen	uitbossen
oetbrengen	uitbrengen
oetbulen	uitbuilen
verdagen	uitdagen
oetdailen	uitdelen
uutknobbelen	uitdenken
oetdijen	uitdijen
oetdeupen	uitdopen
oetdoppen	uitdoppen
spâken	uitdrogen
oetdrufteg	uitdruftig
oetdrokkelk	uitdrukkelijk
oetdrokken	uitdrukken
uutduutsen	uitduitsen
oetdunnen	uitdunnen
oord	uiteinde
uteren	uiten
uterdiek	uiterdijk
utern	uiteren
uterst	uiterst
uutfietern	uitfoeteren
oetgoan	uitgaan
lopeldag	uitgaansdag
oetloopgoud	uitgaanskleren
oetgang	uitgang
oetgeloaten	uitgelaten
oetleerd	uitgeleerd
spandaaiern	uitgeven
uutverroren	uitgevroren
oetgieren	uitgillen
sliester	uitglijer
oethoalen	uithalen
oetham	uitham
oethangen	uithangen
oetharden	uitharden
oethoaren	uitharen
oethelpen	uithelpen
oetham	uithoek
oetholen	uithollen
oethongern	uithongeren
uetheuren	uithoren
harden	uithouden
oetjoagen	uitjagen
uutjebuten	uitjebuiten
uutjoelen	uitjoelen
oetsliepen	uitjouwen
oetkemmen	uitkammen
oetkaauwen	uitkauwen
oetkeuren	uitkeuren
oetkaizen	uitkiezen
oetkiek	uitkijk
oetkieken	uitkijken
oetkirreld	uitkittelen
oetkloarijern	uitklareren
oetknappen	uitknappen
oetkniezen	uitknijzen
oetknikkern	uitknikkeren
oetkomen	uitkomen
oetkroamen	uitkramen
oetloater	uitlaat
oetleg	uitleg
oetleggen	uitleggen
uutloopen	uitlopen
uutluden	uitluiden
òfmoaken	uitmaken
oetmoddern	uitmodderen
oetnaien	uitnaaien
nugen	uitnodigen
nuigen	uitnodiging
oetoufen	uitoefenen
oetpakken	uitpakken
oetpoesten	uitpoesten
oetpoten	uitpoten
oetpotje	uitpotje
uutprotten	uitpuilen
oetlangen	uitreiken
oetreken	uitrekenen
oetrichten	uitrichten
oetroupen	uitroepen
bèlktaiken	uitroepteken
uutroffeln	uitroffelen
oetroppen	uitroppen
uytwinnen	uitrukken
oetrusten	uitrusting
oetschottern	uitschateren
oetschaien	uitscheiden
oetscheuren	uitscheuren
oetschijten	uitschieten
oetschillen	uitschillen
oetschrieven	uitschrijven
oetsiepeln	uitsijpelen
oetsloagen	uitslaan
oetslachten	uitslachten
oetslag	uitslag
oetsliepen	uitsliepen
oetslieten	uitslijten
rieterd	uitslover
oetslupen	uitsluipen
oetsmieten	uitsmijten
oetsnuten	uitsnuiten
oetsjoppen	uitsoppen
oetspand	uitspannen
uutspieten	uitspeten
oetspouken	uitspoken
oetspreken	uitspreken
oetstalen	uitstallen
wtstal	uitstalling
oetstappen	uitstappen
oetstek	uitstek
oetsteker	uitsteker
oetstellen	uitstellen
oetstaarven	uitsterven
oetstoulen	uitstoelen
oetsteukeln	uitstokelen
oetstreuden	uitstrooien
oetstudaiern	uitstuderen
uutstukken	uitstukken
oetticheln	uittichelen
oettrekken	uittrekken
oetvoaren	uitvaren
oetvechten	uitvechten
oetmiender	uitveiler
oetvetern	uitveteren
oetfiegelijern	uitvigileren
oetvöskern	uitvissen
oetvlijgen	uitvliegen
oetvluisel	uitvloeisel
omwindsels	uitvluchten
oetvondeg	uitvondig
uutvurgen	uitvoren
oetvreten	uitvreten
riet	uitwatering
oetweg	uitweg
oetwaiden	uitwieden
oetfiedeln	uitwrijven
uetsturen	uitzenden
oetzetter	uitzetter
oetzitten	uitzitten
oetzuiken	uitzoeken
uutzuikershok	uitzoekershok
oetzundern	uitzonderen
ukkern	ukkeren
uniförm	uniform
akkedemie	universiteit
oer	uur
uur-tied	uur-tijd
joen	uw
f	v
voak	vaak
voal	vaal
vereg	vaardig
voalmelk	vaarmelk
veerse	vaars
voartuug	vaartuig
voarwoater	vaarwater
pottenpaanderij	vaat
schuddeldouk	vaatdoekje
voam	vadem
voamen	vademen
voampie	vadempje
heer	vader
voaderland	vaderland
voai	vadertje
vadseg	vadsig
voagebond	vagebond
voagevuur	vagevuur
vekant	vakant
valbloemen	valbloem
vaalbrog	valbrug
vaalgen	valgen
velies	valies
vil	vallen
vaalreep	valreep
faals	vals
fam	van
toavend	vanavond
dondermieger	vandaal
voaren	varen
voaren	varent
zwiin	varken
swienbòzzels	varkensborstels
swienhòk	varkenshok
spekslachter	varkensslager
swienestaart	varkensstaart
swienezaikte	varkensvlekziekte
swientje	varkentje
vazzeline	vaseline
vastjoagen	vastjagen
knuppen	vastknopen
aansjorren	vastsjorren
vatteg	vatig
vatvōl	vatvol
voazel	vazel
sloagen	vechten
reuper	vechtersbaas
sloagerij	vechtpartij
fiedel	vedel
fiedeldenske	vedeldansje
fiedeln	vedelen
peerdokter	veearts
vijg	veeg
veul	veel
veulmoals	veelmaals
veulste	veels
slokkerd	veelvraat
veimart	veemarkt
veemaid	veemeid
moureg	veenachteg
veenker	veenarbeider
veenbiele	veenbijl
veenbranden	veenbrand
veenbrannen	veenbranden
veenker	veender
veenmollen	veenmol
veeren	veer
veerhengen	veerheng
veerhoes	veerhuis
vattien	veertien
fatteg	veertig
vegerd	veger
stubber	vegertje
vaaileg	veilig
verzekernsspèl	veiligheidsspeld
vaailen	veiling
veltjen	velden
veldmark	veldmerk
eerdröt	veldrat
vellings	velling
fennen	ven
vernien	venijn
venneboonen	vennenboon
glasgedienen	venstergordijnen
roetje	vensterruitje
ventielrek	ventielslang
wiid	ver
te-	ver-
veroarden	veraarden
verachtern	verachteren
veralterijrd	veraltereerd
verandern	veranderen
verarbaiden	verarbeiden
verboasd	verbaasd
verbaldern	verbalderen
verbastern	verbasteren
verboazend	verbazend
verbarg	verberg
verbaargen	verbergen
verbetern	verbeteren
verbetern	verbetering
verlus	verbeurte
verbeuzeln	verbeuzelen
verbaiden	verbieden
verbinnen	verbinden
verblaid	verblaaid
verblieden	verblijden
verbōcheln	verbochelen
verbiedinge	verbod
verbōffen	verboffen
verbōlgen	verbolgen
bizide	verborgen
verbaauwen	verbouwen
verbaldereerd	verbouwereerd
verbraand	verbrand
verbraiden	verbreden
verbraaiden	verbreiden
verbriezeln	verbrijzelen
verbruddeln	verbroddelen
verdedegen	verdedigen
verdeffendijern	verdefenderen
vedder	verder
verduvekoaterd	verdeuvekaterd
verdiedeldaantjen	verdiedeldomdeeën
verdainen	verdienen
verdainstelk	verdienstelijk
verdaipen	verdieping
verdoumen	verdoemen
verdoktern	verdokteren
verdommenijern	verdomineren
verdroagsoam	verdraagzaam
krang	verdraaid
verdraien	verdraaien
verdrait	verdriet
krietig	verdrietig
verdrutsoam	verdrietzaam
verdreugen	verdrogen
verdrokken	verdrukken
verdukerd	verduikerd
verduustern	verduisteren
eklips	verduistering
verdold	verduld
verdwoalen	verdwalen
verswienen	verdwijnen
verdolen	verdwoalen
veredeln	veredeling
verliekedaaiern	vereffenen
verainen	vereniging
veraargern	verergeren
vaarve	verf
verfomfailen	verfomfaaien
opknappen	verfraaien
vergoadern	vergadering
vergankelk	vergankelijk
vergoaren	vergaren
vergees	vergeefs
vargen	vergen
vergenougd	vergenoegd
vergeven	vergiftigen
vergiffenisse	vergiftiging
virgilius	vergilius
verzinnen	vergissen
versetten	vergoeden
hellig	vergramd
vergreld	vergrellen
vergrundeln	vergrendelen
vergraimen	vergrijmen
vergriep	vergrijp
vergreld	vergrild
vergroetjen	vergruiten
verhal	verhaal
verhoageln	verhagelen
verhollen	verhalen
verhoaren	verharen
verheerdhaid	verheerdheid
verheerlekt	verheerlijken
verhevven	verheffen
verhellegen	verhelligen
verheerd	verheren
verhindern	verhinderen
bunen	verhoging
verhongern	verhongeren
verhoopen	verhopen
verheurd	verhoren
vervâren	verhuizen
verhieptijken	verhypotheken
verintressen	verinteresten
joardag	verjaardag
verjoagen	verjagen
verjibbern	verjibberen
verjibbeg	verjibbig
verkakkelemienen	verkakkelemijnen
verkakkelemienen	verkankelemienen
verkatjeflikken	verkatjefrikken
onmis	verkeerd
loperij	verkering
verkettern	verketteren
verkijnen	verkienen
verkaisboar	verkiesbaar
verkijzen	verkiezen
verkaizens	verkiezing
verkikkern	verkikkeren
verkloaren	verklaren
verkloatern	verklateren
verklaainen	verkleinen
verklainijern	verkleineren
aandroager	verklikker
verklongeln	verklungelen
verknooien	verknoeien
verkugelen	verkogelen
verkommern	verkommeren
verkonfaien	verkonfeien
verkontjen	verkonten
verkoft	verkopen
verkoopersche	verkoperse
verkoopen	verkoping
verkollen	verkouden
verkol’n	verkouding
verkronkeln	verkronkelen
smoegen	verkroppen
