Nederlands;Gronings
Dat laatste water op een leeggaard Waddenstrand krijgt de wind niet met hem.;Dat lèste wodder op n leegwaaid Waddenstrand krigt wiend nait mit hom.
Na aanleiding van zijn deelvliet komt diezelfde waterlijn dichter bij mij.;No dook hom deelvlijt komt diezege wodderlien dichter noar mie tou.
No scrouw van zeekob op de wind weerom naar het Wad gaat hoort ze versnijd haar.;No schrouw van zeekòb op wiend weerom noar t Wad gaait heurt heur vernijs heur.
Ik denk niet dat het koud is..;8 t volgens mie nait van kolle wezen..
Blijkbaar was hij bij de eerste vliegen oefeningen verongelukt en kwam op tegels terecht.;Bliekboar was hai bie de eerste vlaigoefeningen verongelukt en op tegels terechte kommen.
Gelukkig waren er hier geen katten.;Gelokkeg waren der hier gain katten.
Hij had geluk.;Hai haar mazzel had.
Vol bewondering voor zo iets kleins hebben wij beiden een tijdje naar hem gekeken.;Vol bewondern veur zo wat klaains hebben wie baaide n tiedje noar hom keken.
Maar goed dat we op tijd droog waren van onze vertrek, anders was het minder met hem aflopen.;Mor goud dat wie op tied trogge waren van ons oetstapke, aans was t minder mit hom òflopen.
Het enige wat ik kon doen, was het dierje weer in het nest zetten.;t Ainegste wat ik doun kon, was t daaiertje weer in t nust leggen.
Ik ben dus weer naar beneden gegaan om de trap op te halen.;Ik dus weer noar beneden om trappe op te hoalen.
Voorzichtig heb ik hem op de rand van het gatje gezet en alsof hij direct door haar had dat hij daar thuushorde, liep hij zelf naar beneden, het nest erin.;Veurzichteg heb ik hom op raand van t gatje zet en alsof hai direkt deur haar dat hai doar thuusheurde, wupte hai zulf noar beneden, t nust in.
Nu was het een kwestie van afwachten of de ouders ook weer kwamen om hem te vouwen.;Nou was t n kwestie van òfwachten of de olders ook weer kwamen om hom te vouern.
Lang hoefden we niet te wachten, al begon het vlug weer eens opnieuw.;Laank huifden wie nait te wachten, al gaauw begon t gevlaig hinneweer vannijs.
Drie dagen later kwam er een klein kopje uit het hokje kijken en ging onze nieuwe wereldburger op de rand van het gat zitten.;Drij doage loater kwam der n klain kopke oet t hokje kieken en ging onze nije wereldburger op raand van t gatje zitten.
Zelfzeker keek hij om zich heen.;Zulfverzekerd keek hai om zok tou.
Het was net alsof hij ons even toekniekte, zo voelden we dat.;t Was net of hai ons even touknikte, zo vuilden wie dat.
Hij flaiterde met zijn vleugels, dronk op zijn dunne voeten, nam een aanvang en vloog weg;Hai fladderde mit zien vleugeltjes, drentelde op zien dunne pootjes, nam n aanloop en vloog vot
We hebben ons een glasje wijn gespuurd.;Wie hebben ons n glaske wien inschonken.
Tot het goede eind.;Op de goie oafloop.
WERELDBURGER;WERELDBURGER
Vanaf het voorjaar kreeg de vrouw van onze jongste kleindochter een vogelhuisje op haar verjaardag.;Van t veurjoar kreeg vraauw van onze jongste klaaindochter n vogelhuuske op heur verjoardag.
We vonden dat heel leuk, ze had het hokje zelf gemaakt op school.;Wie vonden dat hail laif, ze haar t hokje zulf moakt op school.
Ze had er heel wat tijd aan besteed en meester had haar er een 8 op gegeven.;Zie haar der hail wat tied aan besteed en meester haar heur der n 8 op geven.
Geen wonder dat opa de opdracht kreeg het hokje doodelk op te hangen.;Gain wonder dat opa opdracht kreeg t hokje doadelk op te hangen.
Nou, dat is bij ons niet zo makkelijk.;Nou is dat bie ons nait zo makkelk.
Wij wonen op de eerste verdieping van een gebouw.;Wie wonen op d’eerste verdaipen van n gebaauw.
We hebben wel een terras, maar alle grotere spullen die een mens af en toe moet gebruiken, stonden beneden in ons schuurtje.;Wie hebben wel n terras, mor ale grotere spullen dij n mens òf en tou bruken mout, stonden beneden in ons schuurtje.
Goed, ik klomter dus naar beneden om de keukentreppe op te halen.;Afijn, ik klonter dus noar beneden om keukentrappe op te hoalen.
Potlood heb ik in de kast gelegen in de keuken.;Boormesien heb ik in kaaste liggen in keuken.
Het wijst erop dat het hokje veilig moet hangen, dus er moet een stevige schroef in de muren.;t Wicht zee dat t hokje vaaileg hangen mos, dus mout er n stevege schroeve in mure.
Na een tijdje hing het hokje zoals hij moest hangen.;Noa n tiedje hong t hokje zoas hai hangen mos.
Nu maar afwachten of er liefhebberie voor was.;Nou mor òfwachten of der laifhebberij veur was.
Op een warme voorjaarstemorgen zaten de vrouw en ik op onze terras koffie te drinken.;Op n waarme veurjoarsmörgen zaten vraauw en ik op ons terras kovvie te drinken.
Opains zegt de vrouw: We moeten eens kijken, we hebben bezoek.;Opains zegt vraauw: “Most ais kieken, wie hebben bezuik.”
En werkelijk, toen kreeg ik het in de gaten.;En woarachteg, dou kreeg ik t in de goaten.
een koolmeisje, of waren er twee, weet ik nu nog niet zeker, vloog af en toe naar ons nieuwe hokje.;n Koolmeeske, of waren t er twije, dat wait ik nou nog nait zeker, vlogen òf en aan noar ons nij hokje.
Elke keer kwamen ze aanvallen met een bek vol bouwmaterialen.;Elke keer kwamen ze aanvlaigen mit n bek vol bouwmaterioal.
Ze vlogen bij ons langs, te zien zonder angst.;Zai vlogen bie ons langs, zo te zain zunder angst.
Al gauw was het het gebruikelijke gedoe dat de maskers aanwezig waren.;Al gaauw was t de gewoonste zoak dat de meeskes aanwezeg waren.
We waren erg benieuwd wat er verder zou gebeuren.;Wie waren brandnijsgiereg wat der verder gebeuren zol.
De tijd verstrijkte en we gingen een dag of wat aan het raaizen, omdat al zo lang mooi weer was.;Tied verstreek en wie gingen n dag of wat aan raaize, omdat al zo laank mooi weer was.
De dag nadat we weer thuis waren, zaten we zoals gewoonlijk op de terras.;Dag noadat we weer in hoes waren, zaten wie as gewoonlek op terras.
Het weer was de hele tijd redelijk goed gebleven en we moesten onze bloemen op het terras elke dag water geven.;t Weer was de haile tied meroakels goud bleven en wie mozzen onze bloumen op terras elke dag wotter geven.
Het wou maar niet regenen.;t Wol mor nait regen.
De vrouw zegt: We moeten behoefte hebben aan water, want overal liggen al droge bloeren.;Vraauw zegt: “Wie mouten neudeg wotter hebben, want overal liggen al dreuge bloarn”.
Je hebt gelijk, zei ik en zo lang ik naar de tegels kijk.;“Hest geliek”, zee ik en mits kiek ik noar tegels.
Ik dacht dat ik een blaadje zag liggen, maar was niet zeker.;Ik docht dat ik n blad liggen zag, mor was nait zeker.
Als ik beter keek, was het geen blad.;Dou ik beter keek, was t gain blad.
Het was een klein vogeltje.;Het was n klaain vogeltje.
Man, wat was ik verbaasd.;Kerel, wat was ik verboasd.
Het dierje was niet groter dan drie centimeter.;t Daaiertje was nait groter as drij centimeter.
Voorzichtig pakte ik hem op en bekeek hem eens goed.;Veurzichteg pakte ik hom op en bekeek hom ais goud.
Hij zat al goud in de veren en trollede als een ruske, van angst neem ik aan.;Hai zat al goud in de veren en trol as n ruske, van angst neem ik aan.
Met dit weer kon;Mit dit weer kon
Vries-maart 9;Vries-Maarhuis 9
Ik leefde;L aive
God,;God,
Wil;Wil
U moest op de boom van mijn hart kijken, wat houdt dat daar toch wel toe?;Ie ais op boom kieken van mien haart wat holt doar toch wel tou?
kunt u dat wel zien?;kin Ie dat wel zain?
En helft Daar liggen zoveel stenen om weg te gooien naar wie?;A ailoof Doar liggen zoveul stainen om vot te smieten noar wèl?
ik weet het niet, lief God.;k wait t nait, laive God.
Al wat ik ze noem staan daar, met mijn naam, maar ook die van Joe.;Aal stain en puun k zai doar noamen stoan, mit noam van mie, moar ook dij van Joe.
Kunnen jullie het goed zien?;Kinnen Ie t goud zain?
ver weg van mij sta ik met mijn handen vol wat denk je nou?;wied vot van mie k stoa mit mien haanden vollen wat dink Ie nou?
Ik weet niet meer wat de handen vol zijn, praten met jullie?;k Wait ja nait meer wat haanden vollen is, proaten mit Joe?
dat doet pijn, misschien niet te doen.;dat dut pien, sikkoms nait te doun.
Lieve God, wanneer maar de kruik als er geen puin ligt, wie raken we dan over die stenen grijpen jullie in?;Laive God, dou moar krekt of der gain puun ligt, wie strukeln ja over dij stainen griepen Ie in?
Op de boom van mijn hart ligt ook nog de liefde die alle ongemak die we ondertussen willen veroorzaken.;Op boom van mien haart ligt ook nog laifde maank aal dat ongemak wat wie votsmieten willen.
G IMMESTIEK Wat heeft ie daar de pest aan!;G IMMESTIEK Wat het e doar de pest aan!
Zijn lange lief wil nooit doen wat hij opdragen krijgt.;Zien laange lief wil nooit doun wat e opdroagen krigt.
Zo stevig als een bukken, zo zacht als een pan.;Zo stief as n bukken, zo smui as n plaanke.
Koppel je de jongens?;Koppeltjeboien?
Krijgt hij van zijn leven niet op zijn knie, altijd scheef, van daar of daar.;Krigt e van zien leven nait onner knije, aaltied schaif, van madde of.
Staan andere kinderen uit de klas derbij te lachen, de meester heeft een klein laagje om zijn mond.;Stoan aner kinder oet klazze derbie te lewaaien, meester het n min laagje om zien mond.
Achterin aansluiten in rij, tranen verbitten ie.;Achter aansloeten in riege, troanen verbit e.
Tau klimmen of in ringen?;Taauw klimmen of in ringen?
Wat een krup!;Wat n krupsie!
Wandelen?;Wandrek?
Als hij op een tweede plaats staat, schiet hij zich al bijna in de broek, hoogtevrees.;As e op twaide stok staait, schit e zok al sikkom in boksem, “hoogtevrees”.
het woord deed hij niet eens, het gevuil maar allemaal te goed.;t Woord kìnt e nait ains, t gevuil mor aal te goud.
Er is eigenlijk maar één ding dat hij leuk vindt bij gymnastiek: blokjevoetbal!;Der is aiglieks mor ain ding dat e mooi vindt bie gimmestiek: blokjevoetbal!
Daar kan hij zichzelf in leven roepen, hij werkt als een paard, zweet voor het hoofd.;Doar kin e zok in oetleven, hai waarkt as n peerd, swait veur kop.
Meerdere malen per jaar, mocht je wel een beetje min op weden...;Poar moal in t joar, mos je wel slim zuneg op weden...
Moet hij ook nog naar die gymklub, naar TONIDO (To Our Pleasure Is This Upgericht.;Mout e ook nog noar dij gimklub, noar TONIDO (Tot Ons Genoegen Is Dit Opgericht.
Als hij die naam door krijgt, is hij er al lang weer weg).;As e dij noam deur krigt, is e der aal laank weer of).
Voor zo'n krukk als hij is gymnastiek precies goed, zeggen vader en moeder, gaat het bij de lutjanaan wel beter.;Veur zo’n krukke as hij is gimmestiek juust goud, zeggen pa en moeke, t gaait bie lutjenaan wel beter.
Ja, mooi niet....;Joa, mooi nait....
Lijgt niet aan die leraar, experimenteer;Ligt nait aan dij leroar, ervoaren
Cours, hij vangt het een stok beter op dan meesters op school.;Koers, dij vangt t n stok beter op as meesters op schoule.
Zij kunnen immers alleen maar in hun pak met strik voor staan kammeraden.;Dij kìnnen ja allain mor in heur pak mit strikke veur stoan te kommedaaiern.
De koers schudt, maar niet wordt gradennijdig, begint niet te meten.;Koers schudkopt, mor wordt nait gramniedeg, begunt nait te mòtjen.
In een bonstocke zit nu eens niet veel rek.;In n bonestoak zit nou ainmoal nait veul rek.
Hoe is het gegaan? Ze vroegen thuis fiemmachtig wanneer hij met een vergrendeld hoofd de kamer binnenkomt.;“Hou is t goan?” vroagen ze thoes fiemelachteg as e mit vergrelde kop koamer in komt.
Hij zegt niets, zelfs niet met zijn mond toe.;Hai zegt niks, nait mit zien mond teminnent.
Bedenk dat zijn broer, twee jaar ouder, die slank is, die alles duurt, het rekstok zelf en de mouw zwaait.;Bemieterd dat zien bruier, twij joar older, wel smui is, wel alles duurt, rekstok zulfs en taauw swoaien.
Hij heeft duidelijk een streepje voor, vooral bij moeder.;Dij het dudelk n streepke veur, benoam bie moeke.
Die is groot op haar jong!;Dij is grootsk op heúr jong!
(Op die manier....) (Jaren daarvoor was het ook al zo geweest.;(Op dij aíne....) (Joaren doarveur was t ook al zo west.
Zijn oudste broer was lang niet zo zacht als het twee jaar jongere zusje, zo zag je aan het lief en aan het hoofd.;Zien olste bruier was laang zo smui nait as t twij joar jongere zuske, zag je zo aan de lieven en aan de koppen.
Eén kwaad, een ander met een dikke laag.) Uitvoeren?;Aine kwoad, aner mit n dikke laag.) Oetvoerens?
een ramp!;n Ramp!
Eenmaal per jaar moet;Ainmoal in t joar mout
TONIDO laat zien wat er geleerd is, jong en oud waarvoor de bijdrage betaald is, doet mee, het moet!;TONIDO zain loaten wat der leerd is, jong en old woar kontribuutsie veur betoald is, dut mit, t moút!
Ouderen in de zaal van Van Eerds hotel Gemeenschappenhuis, hebben vrij voor de harmoniko speler.;Olders in de zoal van Van Eerde’s hotel “Gemaintehoes”, hörntje vrij veur de harmonikoaspeuler.
Hoofdtijd;Mainsttied
Koperen uit;Kupers oet
Schaam met zijn prachtige structuur 10 min, daar kan hij wel de hele avond naar kijken.;Scheemde mit zien prachtinstru 10 ment, doar kin e wel haile oavend noar kieken.
Maar nee, hij moet zich omtrekken en dan in hemd en korte broek op de stoep staan blauwbekken.;Mor nee, hai mout zok omtrekken en dìn in hemd en körde boksem op gaange stoan te blaauwbekken.
Tot zijn groep aan de beurt is....;Tot zien groep aan de beurt is....
Eerst wordt de boudel feestelijk geopend met de voandel en het gymnastenlaid: Geen lied klinkt zo mooi en geen toon wordt gehoord....;Eerst wordt de boudel feestelk opend mit t voandel en t gimnastenlaid: “Geen zang klinkt zo schoon en geen toon wordt gehoord....”
Drong om niets.;Drokte om niks.
Zweefspringend van en open doeken voor de uitblinkers, haalde hij in de tussentijd ook wat, maar goud dat hij de zaal niet inrolt.;Zweefsprongen van en open doukjes veur de oetblinkers, hai hakkenkrukt tussentied ook wat, mor goud dat e nait de zoal inrolt.
Klappen ze ook nog voor hem, wat een heroverwezing.;Klappen ze ook nog veur hom, wat n omdenken.
Kunnen ze zich weer aantrekken.;Kinnen ze zok weer aantrekken.
Na de pauze kijken we naar oudere kunstenaars in hun mooie witte pakken,;Noa de pauze kieken noar oldere kunstenoars in heur mooie widde pakken,
Geleid op de brug, en;Tiggeloar op brogge, en
De kluis is uitgeput;Bolhoes oet
Oostwoud, en asmits;Oostwold, en asmits
Koers zelf ook nog even.;Koers zulf ook nog even.
Het blijft niet bij één avond, nee, tenminste twee en ook nog een algemene.;t Blift nait bie ain oavend, nee, teminnent twije en ook nog n generoale.
het enige waar hij goed in is?;t Ainege woar hai goud in is?
Hard lopen tussen de stoelen door, 's avonds laat, om pretje op te halen van de verlotten.;Haard lopen tussen stoulen deur, soavends loat, om prieske op te hoalen van verlötten.
En daar betalen ze de bijdrage voor.... Vader komt ook nog een keer in het nieuws, hij heeft drukte schopt bij de ingang van het hotel Gemeenschapshuis.;En doar betoalen ze kontribuutsie veur....Pa komt ook nog n moal in t nijs, hai het drokte schupt bie ingang van hotel “Gemaintehoes”.
Als hij zijn jongens komt ophalen, wanneer het bijna voorbij is, wil de portier hem er niet inlaten.;Komt e zien jonges ophoalen, as t sikkom oflopen is, wil portier hom der nait inloaten.
Je moet net bij mijn vader gaan, loop zo de deur in.;Most net bie pa weden, trapt zo deure in.
Ze moeten hem niet bij zijn kinderen komen!;Ze mouten hom nait aan zien kinder kommen!
De jongen krijgt er niet veel van mee, wat intimidatie, later komt de politie op de batterij.;Jong krigt der nait veul van mit, wat smoesderij, loater komt plietsie op batterij.
Er is nog wel een ander over begonnen, op het schoolplein: Zijn vader....;Der is nog wel ains aine over begund, op schoulplaain: “Dien pa....”
Hij trekt zich er niets van aan, is grootmoedig op zijn vader.;Hai trekt zok der niks van aan, is grootsk op zien pa.
Voor hem komt na vier jaar de verloving van Ellen, hij hoeft niet meer naartoe;Veur hom komt noa vaaier joar ellène de verlözzen, hai huft nait meer noar
TONIDO.;TONIDO.
Als er sprake is van de knuppel, dan moet de deur ook ja worden betaald.;Scheelt in t knipke, kepodde deure mout ook ja betoald worden.
Hij laat het niet zo duidelijk zienen, maar wat is hij blij!;Hai loat t nait zo dudelk zaain, mor wat is e bliede!
Alleen maar meer op school die tomaatje, dat is bijna genoeg.;Allain mor meer op schoule dij tamtoatsie, dat is slim genog.
Hij leeft zich uit op het voetbalveld, of in de buurt naar school en weerom naar huis.;Hai leeft zok oet op voetbalveld, of onnerwegens noar schoule en weerom noar hoes.
Mooie schoenen is hem geen zin, hij schold wel overal tegen.;Mooie schounen is e nait nut, hai schupt ja overal tegenaan.
Een beetje ballet, stenen, aardappelen...;Lutje bale, stainen, eerappels...
Tegenwoordig kijkt hij op het scherm wel eens naar;Tegenswoordeg kikt e op t schaarm wel ains noar
Yuri van;Yoeri van
Geld, of naar die jonge meid uit;Gelder, of noar dij jonge wichter oet
Roemenië of;Roemenie of
Volendam, het is hem toegestaan.;Volendam, t iest hom asmits tou.
Dan denkt hij aan TONIDO in Midwolle.;Dìn denkt e aan TONIDO in Midwolle.
Geen liedje klinkt zo mooi..., koel gedraaid, de zaal vol mensen, lange dingen op het podium.;“Geen zang klinkt zo schoon.....”, kolle gaange, zoal vol mìnsen, laange madde op t podium.
Hij komt op, neemt een goede start en maakt een geweldige koppeltjejeboy.......;Hai komt op, nemt n beste aanloop en moakt n geweldege koppeltjeboi.......
De buurvrouw in de tuin;Buurvraauw in bejoardenflat
De kamer is prachtig;Koamer is wol mooi
Kunnen hier ook mooi uitzien;Kinnen hier ook mooi oetkieken
Heeft u nog wat aansprakelijkheid met mensen hier?;Hebben ie nog wat aansproak mit lu hier?
Ja Ja Het eten is goed hier?;Joa Joa Ist eten hier goud?
En kunnen jullie een beetje vreemdgaan hier?;En kinnen joe n beetje eerden hier?
Nee Het Mout Ja Is moeilijk?;Nee t Mout ja Ist stoer ?
Mijn lawaai glipt langzaam weg;Mien lewaai glid langzoam vot
De trek gaat open wanneer ik diep onderweg ga;Traog gaait open wak daipweg mied k
De reis met haar naar een ander tijdstip telt niet veel moeite;Drief mit heur noar aander tiedat nich telt krig weerde
De Tirrelt leeft weer op aarde;Tirrelt levent weerom eerde
Kleren helpen groeien;Klaainen helpen groten
Zwijgen doet protenen (23 september 2007);Zwiegen wodt proten (23 september 2007)
Alle kameraden;Oal kammeroad
Zo maar midden in de tijd heb je me het aangeraakt;Zo mor midden maank tied hestoe mie roakt t
Is een eeuwigheid maar het lijkt wel gisteren;Is n aiveghaid mor t leek guster
Ik leefde naar voorma maar jij kwam achterom;Ik leefde noar veuren mor doe kwamst achterom
Wij zijn deugdelijk maar bestaan.;Wie bint deukt mor bestoan.
Hun geheugen hebben beiden niets te danken.;Huiven baaident niks ophollen.
Het snaak voorbij.;t Snakken veurbie.
Vergeet vloer kan ons goed dragen.;Vergeten vlouer kin ons goud droagen.
(4 september 2007) Hanne Wilzing;(4 september 2007) Hanne Wilzing
12 laag daar in dat benauwde hokje aan de Engelse taal was meer mijn specialiteit.;12 laag doar in dat benaauwde hokje aan Engelseloane was meer mien “specialiteit”.
Doe ik naartoe;Dou k noar
De zuidhoorn was verhuisd en aan het werk ging op school aan;Zuudhörn verhoesd was en aan t waark gong op schoul aan
Franse lonen, heb ik een boontje perfect gehad van muziekgedude in;Frankriekerloane, heb k n bult perfiet had van meziekgedou in
Zelfs met handwerken ben ik nog wel eens bezig geweest.;Zulfs mit haandzingen bin k nog wel ais bezeg west.
En kanons: Komt en laat...En Een alleen is maar verdrietig...;En kánons: “Komt en laat...” en “Een alleen is maar verdrietig...”
Of Zesduizend;Of “Siebentausend
Rinder, Rosen fra frün, Zingen vrolijke liedjes...;Rinder”, “Rosen fra frün”, “Zing ’n vrolijk liedeke...”
Het mooiste was met kinderen eigen teksten maken op bekende wijze.;Mooiste was mit kinder aigen teksten moaken op bekende wieskes.
Of luistert u, ook met Classieke Muziek.;Of luusterlezzen, ook mit Klassieke Meziek.
Peter en de Wolf vanzelf, maar bij Die Moldau kon hij ook prachtige kunstwerken maken.;“Peter en de Wolf” vanzulf, mor bie “Die Moldau” kon j’ook prachtege kunstwaarken moaken.
Doe we nog niet zo lang in;Dou we nog nait zo laank in
De zuurkoren wassen, zei de hoofdmeester;Zuudhörn wazzen, gooide hoofdmeester
We maken wel eens een balletje op over het;Wibbens wel ains n baaltje op over t
Mannetje, maar zo ver heeft hij het;Mannenkoor, mor zo wied het e
Pepping en mij niet.;Pepping en mie nait kregen.
(Of Albert Zwiers er geweest is, weet ik niet meer).;(Of Albert Zwiers der hìn west is, wait k nait meer).
Luister naar muziek, dat wel vanzelf.;Luustern noar meziek, dat wel vanzulf.
Niet meer zo de Werkvitaminen of de;Nait meer zo de “Arbeidsvitaminen” of de
Kijma;Kilima
Hawaians ging het meer over concerten;Hawaians, t gong meer om konserten in
De stad, in de Oostpoort.;Stad, in d’Oosterpoort.
Of en toe een opera in het Schouwburg.;Of en tou n opera in de Schouwburg.
Thuis de grammofoon met lp's, van alles wat, ook jazz.;Thoes de grammefoon mit LP’s, van alles wat, ook jazz.
Van Bach tot Bacharach...;Van Bach tot Bacharach.....
Voorkeur ging wel steeds meer van het cabaret naar het cabaret.;Veurkeur gong wel aal meer oet noar kabaret.
De teksten werden steeds belangrijker, daar zat voor mij ook een berg muziek in.;Teksten wuiren aal belangrieker, doar zat veur mie ook n baarg meziek in.
Wim Sonneveld, Textspierement, Frans Halsema, DonQuishocking.....;Wim Sonneveld, Tekstpierement, Frans Halsema, DonQuishocking.....
Alsjeblieft, het spijt me nog dat ik zelf niet geleerd heb te spelen.;Asmits begroot t mie nog dat k zulf nait speulen leerd heb.
Met vakgelegenheid Harm Elgersmoa hebben we het nog een keer geprobeerd, op zo'n bijzondere ding.;Mit vakleekracht Haarm Elgersmoa hemmen we t nog ains perbaaierd, op zo’n nijmoods ding.
De toetsen stonden niet goed of mijn vingers stonden verkeerd....;Toetsen zaten nait goud of mien vingers stonnen verkeerd....
Ge speelt nog wel wat op haar harmonika, La Paloma, waarvan ik altijd iets vind.;Gé speult nog wel wat op heur harmonikoa, “La Paloma”, wor k aaltied wat waik van.
Nu maar eerst weer een cd: De Onvergetelijke Jaren 50......;Nou mor eerst weer n spaigelploatje: “De Onvergetelijke Jaren ‘50”......
JB VAN OOST NAAR WEST ASMITS weerom GROOT TE WORDEN MET Muziek?;JB VAN OOST NOAR WEST asmits weerom Groot worden mit meziek?
Als het zingen van moeke daarbij hoort, ja, dan binnen we opgroeien met muziek!;As t zingen van moeke doarbie heurt, joa, dìn binnen we groot worden mit meziek!
Rooie strydliedjes zoals Morgenrood en Op socialisten, sluiten de rijen (zongen ze dat nu nog maar....) vlogen door de keuken en over de tuin en;Rooie “strijdliederen” as “Morgenrood” en “Op socialisten, sluit de rijen” (zongen ze dat nou nog mor....) vlogen deur keuken en over toene en
Max van;Max van
In Praag was Silvertradement tussen de gou-oudheid ook een topper.;Praags “Zilverdraden tussen t gou-oud” was ook n topper.
De mooie kennis met de buurvrouw Diekhoes had liedjes en liedjes.;Mooi kon- trast mit buurvraauw Diekhoes heur psaalms en gezangen.
(De vrouwen konden goed met elkaar omgaan!);(Vraauwlu konnen goud mit mekoar!)
Op de radio waren de Werkvitaminen favoriet;Op radio wazzen de “Arbeidsvitaminen” favoriet mit
Freddy;Freddy
De dakloze van Quinn, de;Quinns “Heimatlos”, de
Eigenaren,;Selvera’s,
Schrijf en;Schriebl en
Huppertjes,;Hupperts,
Wandelland...;Wendland.....
Ga naar de muziekles?;Zulf noar meziekles?
Dat zat er niet in.;Dat zat der nait in.
Niet in mijn ouders, niet in hun kleine.;Nait in mien olders, nait in heur knipke.
Geklang met mondorrel, dat was wel.;Geklungel mit mondörgel, dat wast wel.
Mijn broer en ik kregen radio Luxemburg in de goaten, en AFN Bremerhaven....;Mien bruier en ik kregen radio Luxemburg in de goaten, en AFN Bremerhafen....
Ray en;Ray en
Franky;Franky
Laine: Just walkin in the rain... (Zal daar wandelvirus hij komen?);Laine: “Just walkin’ in the rain...” (Zol doar dat wandelvirus heer kommen?)
Muziek op school?;Meziek op schoule?
Nou ja, mijnheer, dat wel.;Nou ja, zíngen, dat wel.
Bij meester;Bie meester
Vanaf in de klassen 1-2 vertilden wij al aan Een schipje in de haven landt...;Smit in klas 1-2 vertilden w’ons al aan “Een scheepje in de haven landt...”
Wat hebben we daar iets tegen... In 3-4 bij meester;Wat hebben we doar wat ofhojood...In 3-4 bie meester
Vries (Proeme) kwamen we meestal niet aan het zingen tou, was er wel weer iets gebeurd wat orde betreft.;Vries (“Proeme”) kwamen we mainsttied nait aan zingen tou, was der wel weer wat gebeurd wat “orde” aanbelangt.
Stonmeester met strakstok te hanteren, maar niet op viool.;Ston meester mit striekstok te hannesen, mor nait op fioule.
De herinneringen aan het zingen bij meester Zonderman zijn heerlijk.;Erinnerns aan zingerij bie meester Zonderman binnen blier.
Naar de grote stille had?;“Op de grote stille heide”?
Hallo, jij bloempje?;“Hela, gij bloempje?”
Wacht even, Maker op, de rugzak op de schouders... (Virusonderhoud...);Wacht even, “Makkers op, de rugzak op de schouders...” (Virusonderhold...)
Later op de kleuterschool;Loater op kweekschoule in
We moesten er in geloven: toonladders, liedjes, kinderverhalen bij;Sodom mozzen we der aan geleuven: toonladders, handzingen, kinderverskes bie
Verlaat, het boekenje in de hand.;Verlaan, sieferboukje in haand.
En kleed met blokvloei bij Van der Glas.;En geklooi mit blokfloide bie Van der Glas.
Als ik er iets aan deed, thuis, ging het nog eens niet zo over het hoofd, maar ja, er waren immers zoveel andere dingen....;As ik der wat aan dee, thoes, gong t nog ains nait zo bemieterd, mor ja, der wazzen ja zoveul anere dingen....
Rustig aan;Slappe
Ken ik jou?;Ken ik die?
13 Ken ik jou?;13 Ken ik die?
ik dacht dat ik je kende maar echt?;ik docht dat ik die kende mor echt?
jij wil je niet kennen niets te zien laten kop in het zand stropvogel kan het niet breken je pantser altijd barst geen gloep daarbinnen is te zacht;doe wilst die nait kennen niks zain loaten kop in t zaand struusvogel kin t nait breken dien pantser aalmoal barsten gain gloep doar binnen ist te zaacht
De stilte is mijn vriend elk denken is van mij door niemand te veranderen kan het weggooien of bewaren kan er om de lagen zonder bezwaar geen mens kan er bij stilte zijn van mij;De stilleghaid is mien vrund elk denken is mienent deur gainain te veraandern kin t votgooien of bewoaren kin der om lagen zunder bezwoaren gain mìnsk kìn der bie stilleghaid is van mie
WATER;WOTTER
Noord heeft nu een zeepserie Boven water over de mensen in;Noord het nou n soap serie ‘Boven wotter’ over mìnsen ien
Toen was ik getuige van een zeep op ons water over de uiteinden in de Beerster Diep.;Zulms waz k getuuge van n soap onner wotter over ainden ien t Beerster Daip.
Ik zat deze zomer onder het bovendaak van mijn huisje aan het zwemmen lekker in het zonnetje.;k Zat dizze zummer onder ‘t òfdak van mien toenhoeske aan t daip lekker ien t sunnetje.
Mijn oog zat op de drie eindjes van degenen die iets aan het achterhalen waren.;Mien oog vuil op drij ainden dij wat aan t juchtern wazzen.
Toen ik wat beter onderzocht, zag ik dat er toch iets meer strijden waren dan alleen maar kleuren.;Dou ik wat beter toukeek, zag ik dat der toch wat meer stried was dìn allìnt mor juchtern.
het waren twee kerelrechte eindvogels die vochten om een meisje.;t Wazzen twai kerelachtege aindvogels dij vochten om n wiefke.
Een keer was het meisje allemaal duchtig in de nek vast en dook met haar ander water.;Ain haar t wiefke aal duchtig ien nek vaast en dook mit heur onner wotter.
Toen zij boven kwamen, waren zij de hele tijd achter de poest, maar toenadeel ging de ander werg zien met zijn hele gewicht op het strijdige stel en drong ze weer ons water in.;Dou zai boven kwamen, wazzen zai hailndal achter poest, mor votdoadelk goeide d aander woerd zug mit zien haile gewicht op t striedende stel en drokte heur weer onner wotter.
Maar hoe heftig het ook was, de eerste woord bleef het meisje uiteindelijk weg voor de bezoekers.;Mor hou heveg t juchtern ook wui, d’eerste woerd bleef t wiefke aingoal weg onner zug vaasthòlden.
Dan gaat het fout...;Dìn gait t mis...
Na een lange strijd komt het meisje niet meer boven het water.;Noa n laange stried komt t wiefke nait meer boven wotter.
Die domme gerechtelijke eindvogels vochten nog wat onnodig door, keken hem toe en zwommen gestaag lawaaierig samen verder.;Dij domme kerelachtege aindvogels vochten nog wat onneude deur, keken hom zug hìn en swommen stoadeg luud kwoakend soamen wieder.
Aan mijn stoel nageld bleef ik zitten wachten, maar vergelijkbaar.;Aan mien stoul noageld bleef ik zitten wachten, mor vergees.
